scenario,priority_type,priority_growth_rate,capacity,max,capacity_ratio,tracing_delay,vaccinated,priority,samples_isol_swab,samples_test_turnaround_time,samples_time_to_interview
optimal_random_swab_delay_poisson1_capacity80pct_max_5d,random_swab,delay_poisson1,capacity80pct,max_5d,0.8,2,FALSE,FALSE,1,0,1
optimal_random_swab_delay_poisson1_capacity80pct_max_5d,random_swab,delay_poisson1,capacity80pct,max_5d,0.8,4,FALSE,FALSE,2,1,1
optimal_random_swab_delay_poisson1_capacity80pct_max_5d,random_swab,delay_poisson1,capacity80pct,max_5d,0.8,Inf,FALSE,FALSE,0,2,Inf
optimal_random_swab_delay_poisson1_capacity80pct_max_5d,random_swab,delay_poisson1,capacity80pct,max_5d,0.8,5,FALSE,FALSE,3,1,1
optimal_random_swab_delay_poisson1_capacity80pct_max_5d,random_swab,delay_poisson1,capacity80pct,max_5d,0.8,3,FALSE,FALSE,0,2,1
optimal_random_swab_delay_poisson1_capacity80pct_max_5d,random_swab,delay_poisson1,capacity80pct,max_5d,0.8,6,FALSE,FALSE,3,2,1
optimal_random_swab_delay_poisson1_capacity80pct_max_5d,random_swab,delay_poisson1,capacity80pct,max_5d,0.8,4,FALSE,FALSE,1,2,1
optimal_random_swab_delay_poisson1_capacity80pct_max_5d,random_swab,delay_poisson1,capacity80pct,max_5d,0.8,3,FALSE,FALSE,0,2,1
optimal_random_swab_delay_poisson1_capacity80pct_max_5d,random_swab,delay_poisson1,capacity80pct,max_5d,0.8,3,FALSE,FALSE,0,2,1
optimal_random_swab_delay_poisson1_capacity80pct_max_5d,random_swab,delay_poisson1,capacity80pct,max_5d,0.8,8,FALSE,FALSE,5,2,1
optimal_random_swab_delay_poisson1_capacity80pct_max_5d,random_swab,delay_poisson1,capacity80pct,max_5d,0.8,4,FALSE,FALSE,2,1,1
optimal_random_swab_delay_poisson1_capacity80pct_max_5d,random_swab,delay_poisson1,capacity80pct,max_5d,0.8,Inf,FALSE,FALSE,1,1,Inf
optimal_random_swab_delay_poisson1_capacity80pct_max_5d,random_swab,delay_poisson1,capacity80pct,max_5d,0.8,4,FALSE,TRUE,1,2,1
optimal_random_swab_delay_poisson1_capacity80pct_max_5d,random_swab,delay_poisson1,capacity80pct,max_5d,0.8,1,FALSE,TRUE,0,1,0
optimal_random_swab_delay_poisson1_capacity80pct_max_5d,random_swab,delay_poisson1,capacity80pct,max_5d,0.8,5,FALSE,FALSE,1,2,2
optimal_random_swab_delay_poisson1_capacity80pct_max_5d,random_swab,delay_poisson1,capacity80pct,max_5d,0.8,2,FALSE,FALSE,1,0,1
optimal_random_swab_delay_poisson1_capacity80pct_max_5d,random_swab,delay_poisson1,capacity80pct,max_5d,0.8,6,FALSE,FALSE,3,2,1
optimal_random_swab_delay_poisson1_capacity80pct_max_5d,random_swab,delay_poisson1,capacity80pct,max_5d,0.8,2,FALSE,FALSE,1,1,0
optimal_random_swab_delay_poisson1_capacity80pct_max_5d,random_swab,delay_poisson1,capacity80pct,max_5d,0.8,4,FALSE,FALSE,2,1,1
optimal_random_swab_delay_poisson1_capacity80pct_max_5d,random_swab,delay_poisson1,capacity80pct,max_5d,0.8,3,FALSE,FALSE,1,1,1
optimal_random_swab_delay_poisson1_capacity80pct_max_5d,random_swab,delay_poisson1,capacity80pct,max_5d,0.8,3,FALSE,FALSE,1,1,1
optimal_random_swab_delay_poisson1_capacity80pct_max_5d,random_swab,delay_poisson1,capacity80pct,max_5d,0.8,3,FALSE,FALSE,0,2,1
optimal_random_swab_delay_poisson1_capacity80pct_max_5d,random_swab,delay_poisson1,capacity80pct,max_5d,0.8,4,FALSE,TRUE,2,1,1
optimal_random_swab_delay_poisson1_capacity80pct_max_5d,random_swab,delay_poisson1,capacity80pct,max_5d,0.8,3,FALSE,FALSE,1,1,1
optimal_random_swab_delay_poisson1_capacity80pct_max_5d,random_swab,delay_poisson1,capacity80pct,max_5d,0.8,2,FALSE,FALSE,1,0,1
optimal_random_swab_delay_poisson1_capacity80pct_max_5d,random_swab,delay_poisson1,capacity80pct,max_5d,0.8,0,FALSE,TRUE,0,0,0
optimal_random_swab_delay_poisson1_capacity80pct_max_5d,random_swab,delay_poisson1,capacity80pct,max_5d,0.8,1,FALSE,TRUE,0,0,1
optimal_random_swab_delay_poisson1_capacity80pct_max_5d,random_swab,delay_poisson1,capacity80pct,max_5d,0.8,2,FALSE,TRUE,0,2,0
optimal_random_swab_delay_poisson1_capacity80pct_max_5d,random_swab,delay_poisson1,capacity80pct,max_5d,0.8,4,FALSE,FALSE,1,2,1
